,Month,Searches for 'Free Sky',Searches for 'Free Sky Sports',Searches for 'Sky Sports Free',Searches for 'Watch Sky Sports Free'
0,2004-01,30,5,5,0
1,2004-02,28,9,9,0
2,2004-03,23,0,0,0
3,2004-04,25,0,0,0
4,2004-05,23,5,5,0
5,2004-06,39,9,9,0
6,2004-07,28,5,5,0
7,2004-08,41,11,11,18
8,2004-09,40,9,9,18
9,2004-10,52,9,9,29
10,2004-11,52,9,9,21
11,2004-12,51,9,9,23
12,2005-01,45,8,8,22
13,2005-02,42,12,12,21
14,2005-03,39,8,8,22
15,2005-04,35,10,10,16
16,2005-05,33,10,10,13
17,2005-06,34,10,10,14
18,2005-07,41,17,17,14
19,2005-08,48,20,20,22
20,2005-09,45,16,16,19
21,2005-10,41,12,12,18
22,2005-11,43,16,16,17
23,2005-12,38,14,14,12
24,2006-01,38,17,17,11
25,2006-02,35,15,15,12
26,2006-03,34,13,13,16
27,2006-04,35,15,15,13
28,2006-05,32,14,14,11
29,2006-06,30,15,15,9
30,2006-07,37,15,15,0
31,2006-08,45,19,19,15
32,2006-09,44,17,17,12
33,2006-10,36,16,16,13
34,2006-11,39,16,16,18
35,2006-12,39,17,17,22
36,2007-01,36,22,22,18
37,2007-02,39,19,19,22
38,2007-03,41,27,27,30
39,2007-04,35,20,20,18
40,2007-05,40,23,23,24
41,2007-06,36,23,23,17
42,2007-07,40,21,21,16
43,2007-08,46,29,29,24
44,2007-09,46,32,32,30
45,2007-10,37,23,23,25
46,2007-11,40,22,22,19
47,2007-12,47,28,28,32
48,2008-01,42,27,27,18
49,2008-02,35,19,19,19
50,2008-03,42,26,26,30
51,2008-04,39,26,26,31
52,2008-05,39,22,22,24
53,2008-06,35,19,19,18
54,2008-07,37,24,24,18
55,2008-08,41,29,29,24
56,2008-09,42,31,31,35
57,2008-10,36,20,20,26
58,2008-11,40,24,24,30
59,2008-12,40,24,24,27
60,2009-01,46,33,33,33
61,2009-02,41,28,28,35
62,2009-03,38,26,26,34
63,2009-04,42,31,31,40
64,2009-05,39,31,31,36
65,2009-06,42,33,33,28
66,2009-07,44,32,32,27
67,2009-08,49,43,43,37
68,2009-09,47,34,34,33
69,2009-10,45,24,24,35
70,2009-11,51,31,31,38
71,2009-12,48,31,31,34
72,2010-01,53,38,38,42
73,2010-02,48,34,34,46
74,2010-03,44,31,31,39
75,2010-04,53,35,35,46
76,2010-05,45,35,35,49
77,2010-06,42,28,28,34
78,2010-07,40,26,26,26
79,2010-08,51,49,49,52
80,2010-09,51,51,51,46
81,2010-10,47,33,33,45
82,2010-11,44,34,34,47
83,2010-12,45,28,28,36
84,2011-01,74,59,59,66
85,2011-02,71,50,50,69
86,2011-03,60,48,48,69
87,2011-04,57,46,46,72
88,2011-05,59,42,42,60
89,2011-06,55,35,35,44
90,2011-07,76,52,52,65
91,2011-08,86,82,82,100
92,2011-09,76,66,66,79
93,2011-10,59,39,39,66
94,2011-11,56,30,30,46
95,2011-12,62,39,39,56
96,2012-01,71,48,48,63
97,2012-02,66,43,43,61
98,2012-03,64,45,45,67
99,2012-04,68,56,56,89
100,2012-05,51,41,41,56
101,2012-06,52,33,33,45
102,2012-07,58,43,43,50
103,2012-08,60,49,49,58
104,2012-09,60,53,53,68
105,2012-10,57,39,39,55
106,2012-11,54,39,39,57
107,2012-12,58,39,39,52
108,2013-01,64,46,46,57
109,2013-02,60,42,42,57
110,2013-03,59,34,34,49
111,2013-04,60,36,36,54
112,2013-05,56,39,39,48
113,2013-06,56,41,41,52
114,2013-07,58,41,41,39
115,2013-08,100,100,100,70
116,2013-09,64,49,49,58
117,2013-10,59,34,34,47
118,2013-11,62,41,41,59
119,2013-12,69,41,41,50
120,2014-01,76,44,44,53
121,2014-02,60,35,35,51
122,2014-03,64,43,43,68
123,2014-04,74,49,49,81
124,2014-05,65,38,38,63
125,2014-06,57,33,33,40
126,2014-07,52,32,32,34
127,2014-08,84,79,79,67
128,2014-09,67,43,43,53
129,2014-10,53,33,33,44
130,2014-11,54,37,37,52
131,2014-12,53,33,33,49
132,2015-01,58,42,42,63
133,2015-02,57,37,37,53
134,2015-03,61,40,40,60
135,2015-04,58,38,38,61
136,2015-05,58,44,44,79
137,2015-06,44,23,23,33
138,2015-07,53,29,29,35
139,2015-08,78,55,55,76
140,2015-09,57,37,37,51
141,2015-10,54,31,31,45
142,2015-11,56,30,30,45
143,2015-12,55,32,32,49
144,2016-01,49,30,30,42
145,2016-02,52,31,31,46
146,2016-03,53,31,31,44
147,2016-04,59,37,37,65
148,2016-05,53,37,37,62
149,2016-06,51,24,24,47
150,2016-07,48,25,25,35
151,2016-08,62,39,39,46
152,2016-09,55,32,32,47
153,2016-10,51,30,30,44
154,2016-11,56,22,22,33
155,2016-12,64,25,25,40
156,2017-01,53,27,27,37
157,2017-02,47,22,22,34
158,2017-03,52,24,24,41
159,2017-04,59,43,43,69
160,2017-05,47,28,28,44
161,2017-06,51,30,30,46
162,2017-07,52,27,27,43
163,2017-08,75,46,46,71
164,2017-09,60,28,28,39
165,2017-10,44,26,26,37
166,2017-11,45,22,22,31
167,2017-12,44,26,26,32
168,2018-01,47,23,23,30
169,2018-02,47,21,21,31
170,2018-03,48,29,29,46
171,2018-04,41,27,27,38
172,2018-05,39,24,24,40
173,2018-06,38,17,17,27
174,2018-07,37,18,18,25
175,2018-08,46,32,32,39
176,2018-09,48,30,30,44
177,2018-10,45,19,19,28
178,2018-11,54,22,22,31
179,2018-12,49,21,21,27
180,2019-01,39,16,16,20
181,2019-02,41,21,21,27
182,2019-03,41,19,19,25
183,2019-04,41,21,21,34
184,2019-05,44,22,22,35
185,2019-06,41,26,26,40
186,2019-07,36,17,17,22
187,2019-08,46,32,32,37
188,2019-09,39,19,19,25
189,2019-10,39,14,14,21
190,2019-11,40,16,16,24
191,2019-12,49,30,30,29
192,2020-01,39,17,17,21
193,2020-02,40,15,15,22
194,2020-03,45,10,10,15
195,2020-04,36,5,5,15
196,2020-05,29,5,5,14
197,2020-06,60,41,41,54
198,2020-07,37,21,21,28
199,2020-08,31,14,14,19
200,2020-09,37,22,22,28
201,2020-10,40,20,20,25
202,2020-11,38,15,15,23
203,2020-12,39,15,15,24
204,2021-01,39,14,14,22
205,2021-02,35,10,10,19
206,2021-03,38,13,13,22
207,2021-04,31,13,13,21
208,2021-05,30,13,13,25
209,2021-06,27,10,10,17
210,2021-07,29,12,12,19
211,2021-08,33,18,18,23
212,2021-09,30,16,16,23
213,2021-10,31,15,15,22
214,2021-11,28,11,11,17
215,2021-12,30,11,11,19
216,2022-01,32,13,13,24
217,2022-02,37,15,15,26
218,2022-03,37,16,16,27
219,2022-04,37,18,18,27
220,2022-05,34,17,17,25
221,2022-06,30,11,11,17
222,2022-07,33,14,14,20
223,2022-08,40,22,22,34
224,2022-09,30,11,11,22
225,2022-10,34,15,15,25
226,2022-11,31,9,9,18
227,2022-12,31,9,9,18
228,2023-01,35,14,14,22
229,2023-02,34,15,15,25
230,2023-03,32,11,11,24
231,2023-04,32,13,13,23
232,2023-05,28,13,13,20
233,2023-06,29,9,9,18
234,2023-07,27,11,11,18
235,2023-08,32,14,14,22
236,2023-09,31,13,13,21
237,2023-10,36,14,14,25
238,2023-11,30,9,9,19
239,2023-12,30,10,10,20
240,2024-01,29,12,12,22
241,2024-02,26,10,10,17
242,2024-03,27,11,11,21
243,2024-04,26,11,11,19
244,2024-05,25,11,11,20
245,2024-06,25,8,8,19
246,2024-07,25,9,9,19
247,2024-08,26,11,11,19
248,2024-09,23,10,10,17
249,2024-10,24,8,8,16
250,2024-11,26,9,9,17
251,2024-12,26,10,10,23
252,2025-01,25,10,10,17
253,2025-02,28,9,9,19
254,2025-03,26,9,9,17
255,2025-04,28,12,12,24
256,2025-05,34,10,10,23
257,2025-06,26,7,7,15
